metric,baseline_TP,lightning_TPL,improvement,pct_change
Monthly R²,0.769,0.927,+0.158,+20.5%
Seasonal R²,0.640,1.000,+0.360,+56.3%
ROC-AUC,0.836,0.805,-0.031,-3.7%
PR-AUC,0.654,0.516,-0.138,-21.1%
