scenario,year,climate_quantile,temperature_celsius,precipitation_mm_per_day
RCP4.5,2020,pctl25,11.64803695678711,0.060798559337854385
RCP4.5,2030,pctl25,12.849834442138672,0.020289108157157898
RCP4.5,2040,pctl25,13.5726900100708,0.023361722007393837
RCP4.5,2050,pctl25,12.910590171813965,0.030463162809610367
RCP4.5,2060,pctl25,13.166388511657715,0.032793078571558
RCP4.5,2070,pctl25,12.693100929260254,0.05836367607116699
RCP4.5,2080,pctl25,13.046554565429688,0.05041343718767166
RCP4.5,2020,pctl50,13.841444969177246,0.8425424695014954
RCP4.5,2030,pctl50,14.531732559204102,0.45683830976486206
RCP4.5,2040,pctl50,15.41933822631836,0.46132221817970276
RCP4.5,2050,pctl50,14.883742332458496,0.4344698190689087
RCP4.5,2060,pctl50,14.79147720336914,0.5174585580825806
RCP4.5,2070,pctl50,14.886159896850586,0.7161092162132263
RCP4.5,2080,pctl50,15.150310516357422,0.7670282125473022
RCP4.5,2020,pctl99,18.28744888305664,17.047161102294922
RCP4.5,2030,pctl99,18.661334991455078,16.246557235717773
RCP4.5,2040,pctl99,19.547740936279297,14.717965126037598
RCP4.5,2050,pctl99,18.26495361328125,12.866568565368652
RCP4.5,2060,pctl99,18.369964599609375,17.358196258544922
RCP4.5,2070,pctl99,19.603290557861328,16.925905227661133
RCP4.5,2080,pctl99,19.95954132080078,19.45287322998047
RCP8.5,2020,pctl25,11.580504417419434,0.04859026521444321
RCP8.5,2030,pctl25,11.28576374053955,0.02451266162097454
RCP8.5,2040,pctl25,11.476978302001953,0.0601540207862854
RCP8.5,2050,pctl25,13.870259284973145,0.002560711232945323
RCP8.5,2060,pctl25,13.315996170043945,0.031537849456071854
RCP8.5,2070,pctl25,14.556891441345215,0.06950506567955017
RCP8.5,2080,pctl25,15.163381576538086,0.04724925756454468
RCP8.5,2020,pctl50,13.553778648376465,0.8962122797966003
RCP8.5,2030,pctl50,13.066524505615234,0.6332166194915771
RCP8.5,2040,pctl50,13.557145118713379,0.7865080237388611
RCP8.5,2050,pctl50,15.487592697143555,0.29706257581710815
RCP8.5,2060,pctl50,14.999214172363281,0.7200531363487244
RCP8.5,2070,pctl50,16.490589141845703,0.6349093914031982
RCP8.5,2080,pctl50,17.133045196533203,0.807858407497406
RCP8.5,2020,pctl99,17.120080947875977,23.379974365234375
RCP8.5,2030,pctl99,17.52787208557129,20.982980728149414
RCP8.5,2040,pctl99,17.5543155670166,24.353530883789062
RCP8.5,2050,pctl99,18.656734466552734,20.613889694213867
RCP8.5,2060,pctl99,19.19635581970215,23.61815643310547
RCP8.5,2070,pctl99,20.9295597076416,20.921655654907227
RCP8.5,2080,pctl99,21.69762420654297,24.825544357299805
