metric,baseline_TP,lightning_TPL,improvement,pct_change
Monthly R²,0.556,0.762,+0.206,+37.1%
Seasonal R²,0.579,0.806,+0.228,+39.3%
ROC-AUC,0.835,0.805,-0.031,-3.7%
PR-AUC,0.654,0.516,-0.138,-21.0%
