Season,Year,Province_Mean_Risk,Province_Std,Ensemble_Spread,Relative_Uncertainty
Winter,2020,0.134618538169657,0.04001697074516302,0.019505861554501937,0.14489729141107666
Winter,2030,0.1271409364445991,0.05063657014306158,0.039361915032554144,0.30959277266064394
Winter,2040,0.1341008382038052,0.04967463388675477,0.037913364552019935,0.28272280069121986
Winter,2050,0.13123267854669154,0.0527681711294426,0.03900341471437377,0.2972080974518604
Winter,2060,0.16498561981448337,0.05839879439099898,0.045045442429417354,0.27302647636847566
Winter,2070,0.13199021462503355,0.04986094779002769,0.03731817745828851,0.2827344251564742
Winter,2080,0.14611125061449082,0.056187561546099864,0.041479001713159054,0.2838864326923043
Winter,2090,0.1974730815464008,0.04716008767400605,0.024073701518944023,0.12190877526407241
Winter,2100,0.19636505242675234,0.06296104565111513,0.050520528452921466,0.2572786136258463
Spring,2020,0.1243506016086327,0.046407435601564684,0.03490334078936541,0.28068493708793074
Spring,2030,0.13815844277849332,0.038337073936671386,0.017539098920078648,0.126949164794791
Spring,2040,0.14049748410405558,0.042060253165967655,0.027257992823089154,0.19401054045139537
Spring,2050,0.1481477425204314,0.04498692238400797,0.0319390453662171,0.21558914650226488
Spring,2060,0.1722354779067992,0.05963169754341031,0.05013688357166952,0.2910949833390296
Spring,2070,0.11175155508043011,0.06310297810416857,0.05566765223960785,0.4981376071191366
Spring,2080,0.1428460001006008,0.05771107167305577,0.04797764889455079,0.33586973986504365
Spring,2090,0.17977490293438433,0.07027967926056274,0.06153235917148151,0.3422744674986145
Spring,2100,0.11144323339413018,0.07360115050590453,0.0693460144675368,0.6222541499876234
Summer,2020,0.14465739328551303,0.09799070997736699,0.07805019440555697,0.5395520590607341
Summer,2030,0.14146137469322426,0.07959407924798842,0.05041271748247679,0.3563709004793905
Summer,2040,0.1601630255592229,0.08699993812210817,0.051617587899622806,0.32228154856213276
Summer,2050,0.14438974765846915,0.09445136085051108,0.07299071831834905,0.505511779762902
Summer,2060,0.15574951207249996,0.1040464575323222,0.0818315869394466,0.5254050934127791
Summer,2070,0.1690436379924814,0.12131310894933481,0.10695491443063061,0.6327059432747636
Summer,2080,0.22214333354970914,0.12979633223956571,0.11092260697514345,0.4993289926943598
Summer,2090,0.21484423000017336,0.1275776606103533,0.10746183062921563,0.5001848577880306
Summer,2100,0.18780495731262814,0.10606756633551206,0.07534012333816885,0.40116152638481456
Fall,2020,0.22217987966546932,0.08834607227596394,0.0490481278695786,0.22075863909652457
Fall,2030,0.19406391034621473,0.08667019005307113,0.06354398364484011,0.3274384378397617
Fall,2040,0.16546064618356726,0.08570213082237185,0.061844345146563846,0.3737707217579205
Fall,2050,0.27663541970100036,0.09153190634205212,0.06727214590809635,0.24317979953834915
Fall,2060,0.2328113088890396,0.12462846519754181,0.11132363406483435,0.4781710759501482
Fall,2070,0.23504378421678962,0.11072989876962736,0.08845015406109127,0.3763135211417053
Fall,2080,0.1731314635010137,0.07852838618760132,0.05177122601589381,0.29902840863810226
Fall,2090,0.25402577384552416,0.09276667806237097,0.04387166000097623,0.17270554612169026
Fall,2100,0.28010599319518914,0.10556188410578803,0.0758145145191211,0.27066366433041833
